Address,Beds,Baths,Price
"22 Revere Pl,Brooklyn, NY 11213",6bd,6ba,"$2,495,000"
"349 16th St #2,Brooklyn, NY 11215",3bd,2ba,"$1,650,000"
"22-31 47th St,Astoria, NY 11105",5bd,4ba,"$1,699,000"
"350 W  44th St #703,New York, NY 10036",3bd,3ba,"$2,500,000"
"2815 Ocean Pkwy #L2-3,Brooklyn, NY 11235",2bd,2ba,"$575,000"
"120 Avenue V,Brooklyn, NY 11223",8bd,4ba,"$1,399,888"
"44 Debbie St #12A,Staten Island, NY 10314",2bd,1ba,"$499,000"
"663 53rd Street,Brooklyn, NY 11220",6bd,2ba,"$1,890,000"
"126 Seneca St,Staten Island, NY 10310",3bd,3ba,"$629,900"
"65 Narrows Rd N,Staten Island, NY 10305",3bd,2ba,"$688,000"
"73-45 210th Street UNIT 1G,Oakland Gardens, NY 11364",1bd,1ba,"$255,000"
"333 E  46th St #9B,New York, NY 10017",2bd,2ba,"$1,150,000"
"60 9th Ave #519,New York, NY 10003",1bd,1ba,"$999,000"
"269 50th St,Brooklyn, NY 11220",9bd,3ba,"$1,150,000"
"224 Highland Blvd #901,Brooklyn, NY 11207",2bd,1ba,"$450,000"
"156 Lamberts Ln,Staten Island, NY 10314",3bd,2ba,"$699,999"
"784 E  37th St,Brooklyn, NY 11210",3bd,2ba,"$759,000"
"712 Washington St #1A,New York, NY 10014",2bd,1ba,"$1,050,000"
"1271 Rogers Ave,Brooklyn, NY 11226",8bd,5ba,"$1,300,000"
"256 Graff Avenue,Bronx, NY 10465",6bd,4ba,"$925,000"
"144-40 71 Avenue UNIT 2F,Flushing, NY 11367",2bd,1ba,"$379,000"
"311 Greenwich St #7G,New York, NY 10013",1bd,1ba,"$995,000"
"520 5th Ave #66B,New York, NY 10036",1bd,2ba,"$3,400,000"
"590 6th St   #1R,Brooklyn, NY 11215",2bd,3ba,"$2,595,000"
"86-35 Little Neck Parkway,Floral Park, NY 11001",4bd,4ba,"$1,188,000"
"1631 Hering Avenue,Bronx, NY 10461",3bd,2ba,"$649,000"
"69 Eaton Ct,Brooklyn, NY 11229",3bd,1ba,"$700,000"
"215 E  19th St #1B,New York, NY 10003",1bd,2ba,"$2,925,000"
"7618 10th Ave,Brooklyn, NY 11228",3bd,1ba,"$1,180,000"
"345 E  77th St #1G,New York, NY 10075",1bd,1ba,"$435,000"
"112 Plan in The Belnord,New York, NY 10024",4bd,5ba,"$6,950,000+"
"2108 67th St,Brooklyn, NY 11204",4bd,3ba,"$1,399,999"
"467 Central Park W  #14B,New York, NY 10025",2bd,2ba,"$1,850,000"
"110-20 71st Ave #422,Forest Hills, NY 11375",2bd,1ba,"$588,000"
"72-07 112th Street,Flushing, NY 11375",5bd,5ba,"$3,650,000"
"984 Bergen St   #3,Brooklyn, NY 11216",2bd,2ba,"$1,285,000"
"160 W  85th St #5G,New York, NY 10024",3bd,2ba,"$1,485,000"
"11-32 31st Ave #7D,Astoria, NY 11106",2bd,2ba,"$1,295,000"
"5922 Madison St,Ridgewood, NY 11385",5bd,3ba,"$1,995,000"
"2850 E 197th Street,Bronx, NY 10461",5bd,4ba,"$1,250,000"
"74-61 260 Street UNIT 2,Glen Oaks, NY 11004",1bd,1ba,"$259,000"
"121-18 Powells Cove Boulevard UNIT A,College Pt, NY 11356",3bd,2ba,"$998,000"
"100 E  53rd St #5C,New York, NY 10022",2bd,3ba,"$5,995,000"
"100 E  53rd St #7C,New York, NY 10022",3bd,4ba,"$6,850,000"
"100 E  53rd St #45B,New York, NY 10022",1bd,2ba,"$2,900,000"
"249 Targee St,Staten Island, NY 10304",2bd,1ba,"$360,500"
"334 Huguenot Ave,Staten Island, NY 10312",5bd,3ba,"$649,900"
"443 W  19th St,New York, NY 10011",3bd,3ba,"$8,995,000"
"3 Hanover Sq #11E,New York, NY 10004",Studio,1ba,"$550,000"
"109-97 203rd Street,Saint Albans, NY 11412",4bd,2ba,"$699,999"
"1240 Bedford Ave #1H,Brooklyn, NY 11216",1bd,1ba,"$585,000"
"1503 Royce St #2B,Brooklyn, NY 11234",3bd,2ba,"$760,000"
"43-15 46th St #C5,Sunnyside, NY 11104",1bd,1ba,"$398,000"
"4333 48th St #3B,Long Island City, NY 11104",1bd,1ba,"$550,000"
"80 La Salle St #17D,New York, NY 10027",1bd,1ba,"$435,000"
"191-12 114th Road,Jamaica, NY 11412",3bd,2ba,"$619,990"
"35-15 84th St #6D,Jackson Heights, NY 11372",2bd,2ba,"$825,000"
"1575 E  35th St,Brooklyn, NY 11234",3bd,3ba,"$899,000"
"215 E  19th St #1D,New York, NY 10003",2bd,3ba,"$3,495,000"
"150-15 72nd Rd #5,Flushing, NY 11367",2bd,2ba,"$425,000"
"240 Park Ave S  #14B,New York, NY 10003",3bd,4ba,"$4,400,000"
"2168 35th St #1B,Astoria, NY 11105",1bd,1ba,"$220,000"
"10230 66th Rd   #19G,Forest Hills, NY 11375",1bd,1ba,"$229,000"
"23 Linden St,Staten Island, NY 10310",3bd,2ba,"$629,000"
"1958 W  8th St,Brooklyn, NY 11223",Studio,2ba,"$1,299,000"
"1199 Park Ave #9G,New York, NY 10128",1bd,1ba,"$989,000"
"1543 W  1st St #C10,Brooklyn, NY 11204",2bd,1ba,"$448,000"
"7604 Cooper Ave,Glendale, NY 11385",3bd,2ba,"$688,000"
